id,title,budget,revenue,runtime,popularity,vote_average,vote_count,original_language,release_date,release_year,release_month,genres,budget_safe,runtime_safe,vote_count_safe,month_sin,month_cos,release_competition,log_budget,log_vote_count,popularity_score,vote_density,popularity_per_budget,budget_per_minute,hype_score,is_summer_release,is_holiday_release,is_sequel,is_hit,roi
192102,3 Days to Kill,28000000,53260230,113,25.75,6.068,1998,en,2014-02-14,2014,2,"Action, Drama, Thriller",28000000,113,1998,0.8660254037844386,0.5000000000000001,736.0,17.147715103853763,7.6004023345004,156.25099999999998,17.68141592920354,9.196428571428572e-07,245614.0350877193,51448.5,0,0,1,1,0.9021510392088915
137093,Last Vegas,28000000,134402450,105,20.121,6.402,1995,en,2013-10-31,2013,10,Comedy,28000000,105,1995,-0.8660254037844386,0.5000000000000001,1036.0,17.147715103853763,7.59890045687141,128.814642,19.0,7.186071428571428e-07,264150.9433962264,40141.395,0,0,0,1,3.8000873642825943
11770,Shaolin Soccer,10000005,42776760,113,38.382,7.076,1994,cn,2001-07-05,2001,7,"Action, Comedy",10000005,113,1994,-0.4999999999999997,-0.8660254037844388,780.0,16.11809625095814,7.598399329323964,271.591032,17.646017699115045,3.838198080900959e-06,87719.34210526316,76533.708,1,0,0,1,3.27767353339588
926,Galaxy Quest,45000000,90683916,101,18.364,7.062,1991,en,1999-12-25,1999,12,"Comedy, Science Fiction, Adventure",45000000,101,1991,-2.4492935982947064e-16,1.0,1029.0,17.622173069956816,7.596894438144544,129.68656800000002,19.712871287128714,4.080888888888889e-07,441176.4705882353,36562.724,0,1,0,1,1.0151981107733754
387,Das Boot,14000000,85000000,150,32.423,8.083,1991,de,1981-09-17,1981,9,"Drama, History, War",14000000,150,1991,-1.0,-1.8369701987210297e-16,1076.0,16.454567959008102,7.596894438144544,262.075109,13.273333333333333,2.3159285714285717e-06,92715.23178807947,64554.19300000001,0,0,0,1,5.0714282091837
426543,The Nutcracker and the Four Realms,79910000,59522646,99,16.937,6.079,1991,en,2018-10-26,2018,10,"Fantasy, Adventure, Family",79910000,99,1991,-0.8660254037844386,0.5000000000000001,1036.0,18.196411571864722,7.596894438144544,102.960023,20.11111111111111,2.1195094481291454e-07,799100.0,33721.567,0,0,0,1,-0.2551289418704925
921,Cinderella Man,79910000,108539911,144,16.786,7.531,1990,en,2005-06-02,2005,6,"Romance, Drama, History",79910000,144,1990,1.2246467991473532e-16,-1.0,840.0,18.196411571864722,7.596392304064196,126.415366,13.819444444444445,2.1006131898385686e-07,551103.448275862,33404.14,1,0,0,1,0.3582769445841954
154400,The Drop,12600000,19054534,106,27.259,6.768,1987,en,2014-09-12,2014,9,"Drama, Crime",12600000,106,1987,-1.0,-1.8369701987210297e-16,1076.0,16.349207451286784,7.59488438721652,184.488912,18.745283018867923,2.1634126984126986e-06,117757.00934579439,54163.633,0,0,0,1,0.5122645625186855
677179,Creed III,75000000,275248615,116,67.15425,7.194,1987,en,2023-03-01,2023,3,"Drama, Action",75000000,116,1987,1.0,6.123233995736766e-17,796.0,18.132998684833918,7.59488438721652,483.10767450000003,17.129310344827587,8.953900000000001e-07,641025.641025641,133435.49475,0,0,1,1,2.66998149773358
228066,Victor Frankenstein,40000000,34227298,109,22.394,5.9,1986,en,2015-11-10,2015,11,"Drama, Science Fiction, Thriller",40000000,109,1986,-0.5000000000000004,0.8660254037844384,809.0,17.50439003707821,7.594381242551817,132.1246,18.220183486238533,5.598499999999999e-07,363636.36363636365,44474.484,0,1,0,1,-0.14431754639206135
37137,The Naked Gun 2½: The Smell of Fear,23000000,86930411,85,34.268,6.774,1985,en,1991-06-28,1991,6,"Comedy, Crime",23000000,85,1985,1.2246467991473532e-16,-1.0,840.0,16.951004817371683,7.593877844605118,232.13143200000002,23.352941176470587,1.489913043478261e-06,267441.8604651163,68021.98,1,0,1,1,2.7795829661050884
